,code,stock_at,collect_at,remain_stat
80,11800208,2020-04-13 08:08:00,2020-04-13 18:35:00,few
81,11800208,2020-04-14 08:07:00,2020-04-14 08:15:00,plenty
82,11800208,2020-04-14 08:07:00,2020-04-14 09:55:00,some
83,11800208,2020-04-14 08:07:00,2020-04-14 11:30:00,few
84,11800208,2020-04-14 08:07:00,2020-04-14 11:35:00,plenty
85,11800208,2020-04-14 08:07:00,2020-04-14 13:20:00,some
86,11800208,2020-04-14 08:07:00,2020-04-14 13:35:00,plenty
87,11800208,2020-04-14 08:07:00,2020-04-14 14:10:00,some
88,11800208,2020-04-14 08:07:00,2020-04-14 15:30:00,few
89,11800208,2020-04-14 08:07:00,2020-04-14 16:45:00,some
90,11800208,2020-04-14 08:07:00,2020-04-14 17:50:00,few
91,11800208,2020-04-14 08:07:00,2020-04-14 20:05:00,empty
92,11800208,2020-04-14 08:07:00,2020-04-14 21:10:00,few
93,11800208,2020-04-15 08:23:00,2020-04-16 00:00:00,break
94,11800208,2020-04-19 08:59:00,2020-04-20 00:00:00,empty
95,11800208,2020-04-20 08:10:00,2020-04-20 08:15:00,plenty
96,11800208,2020-04-20 08:10:00,2020-04-20 11:50:00,some
97,11800208,2020-04-20 08:10:00,2020-04-20 12:40:00,few
98,11800208,2020-04-20 08:10:00,2020-04-20 13:05:00,empty
99,11800208,2020-04-20 08:10:00,2020-04-20 13:10:00,some
100,11800208,2020-04-20 08:10:00,2020-04-20 13:50:00,few
101,11800208,2020-04-20 08:10:00,2020-04-20 15:05:00,empty
102,11800208,2020-04-20 08:10:00,2020-04-20 15:20:00,plenty
103,11800208,2020-04-20 08:10:00,2020-04-20 15:30:00,some
104,11800208,2020-04-20 08:10:00,2020-04-20 16:55:00,few
105,11800208,2020-04-20 08:10:00,2020-04-20 17:05:00,empty
106,11800208,2020-04-20 08:10:00,2020-04-20 17:10:00,some
107,11800208,2020-04-20 08:10:00,2020-04-20 18:20:00,few
108,11800208,2020-04-20 08:10:00,2020-04-20 19:10:00,empty
109,11800208,2020-04-20 08:10:00,2020-04-20 19:25:00,few
110,11800208,2020-04-20 08:10:00,2020-04-20 19:40:00,break
111,11800208,2020-04-20 08:10:00,2020-04-20 20:30:00,empty
112,11800208,2020-04-21 08:04:00,2020-04-21 08:10:00,plenty
113,11800208,2020-04-21 08:04:00,2020-04-21 10:35:00,some
114,11800208,2020-04-21 08:04:00,2020-04-21 12:00:00,plenty
115,11800208,2020-04-21 08:04:00,2020-04-21 13:40:00,some
116,11800208,2020-04-21 08:04:00,2020-04-21 16:35:00,plenty
117,11800208,2020-04-21 08:04:00,2020-04-21 16:40:00,some
118,11800208,2020-04-21 08:04:00,2020-04-21 18:30:00,few
119,11800208,2020-04-21 08:04:00,2020-04-21 21:15:00,empty
120,11800208,2020-04-22 08:06:00,2020-04-22 08:15:00,break
121,11800208,2020-04-22 08:06:00,2020-04-22 12:10:00,plenty
122,11800208,2020-04-22 08:06:00,2020-04-22 14:00:00,some
123,11800208,2020-04-22 08:06:00,2020-04-22 14:05:00,plenty
124,11800208,2020-04-22 08:06:00,2020-04-22 18:05:00,some
125,11800208,2020-04-23 08:06:00,2020-04-23 08:15:00,plenty
126,11800208,2020-04-23 08:06:00,2020-04-23 17:55:00,some
127,11800208,2020-04-23 08:06:00,2020-04-23 19:15:00,few
128,11800208,2020-04-24 08:08:00,2020-04-24 08:15:00,plenty
129,11800208,2020-04-24 08:08:00,2020-04-24 17:05:00,some
130,11800208,2020-04-24 08:08:00,2020-04-24 17:15:00,plenty
