District,shortage_score,overstock_score,unbalance_score
서초구,0.4736679632228329,0.3950793695301109,0.45795024448428856
강남구,0.4028597782775358,0.47697970816266694,0.417683764254562
용산구,0.40645897808026704,0.45783119616171375,0.4167334216965564
종로구,0.40419694104708037,0.4410907473731925,0.41157570231230284
금천구,0.330508608296346,0.529982178434374,0.37040332232395157
강서구,0.32198156810802464,0.5561268603182669,0.36881062655007313
중구,0.3180506496560141,0.5502328135238832,0.36448708242958794
영등포구,0.315860818217354,0.5480713753534409,0.36230292964457134
구로구,0.3056289541583532,0.562416604035919,0.3569864841338664
광진구,0.3068798179919763,0.5553922944285095,0.356582313279283
노원구,0.305392288095444,0.5592349815590761,0.3561608267881705
성북구,0.2876281801920821,0.5875186906133871,0.34760628227634316
마포구,0.28292618880278225,0.6028518189748135,0.34691131483718857
성동구,0.2847541574945835,0.5932991825403053,0.34646316250372794
송파구,0.27801783673020947,0.5946068559544275,0.3413356405750531
양천구,0.2749885904020446,0.5994436884515736,0.3398796100119504
은평구,0.264219785982416,0.611458520097848,0.33366753280550243
도봉구,0.2542979985051886,0.5888020183691025,0.3211988024779714
강북구,0.2362567639099983,0.6372326198567423,0.31645193509934716
서대문구,0.23524718347386736,0.6223954576184052,0.312676838302775
동작구,0.23234682277834637,0.630057662278715,0.31188899067842
강동구,0.23341527521696032,0.6224217417652863,0.31121656852662555
중랑구,0.23551693009879915,0.5967457951374265,0.3077627031065247
동대문구,0.2063846247795659,0.6760810487392804,0.3003239095715088
관악구,0.19665376673000218,0.6564374574180232,0.28861050486760637
