District,shortage_score,overstock_score,unbalance_score
서초구,0.5494781399155232,0.3291710246031883,0.5054167168530562
용산구,0.4519310431379096,0.4197806497340731,0.44550096445714255
강남구,0.44599178307191284,0.433539509222916,0.44350132830211353
종로구,0.4491905027905736,0.40701312679722607,0.44075502759190416
금천구,0.38731127936430376,0.48198534498468837,0.4062460924883807
강서구,0.3842479492435558,0.4927061261687824,0.40593958462860125
중구,0.3709054095972718,0.4982224775471434,0.3963688231872462
영등포구,0.365944121489726,0.5042313111022517,0.3936015594122312
구로구,0.34811193068210255,0.5196953051908156,0.38242860558384534
성동구,0.33727771947255714,0.546374288865313,0.37909703335110834
광진구,0.3441483621647351,0.5157104360321956,0.3784607769382271
마포구,0.33614136520433013,0.543299792561554,0.37757305067577496
송파구,0.32471561467154203,0.554296201946464,0.3706317321265263
노원구,0.33146340611736214,0.5215761774699583,0.36948596038788134
성북구,0.3204255922340161,0.5507832601180453,0.366497125810822
양천구,0.31500120206357957,0.5564824399394998,0.36329744963876365
은평구,0.29960048142937923,0.5707468105117638,0.35382974724585625
도봉구,0.300173202711953,0.536257678124537,0.3473900977944699
강동구,0.280770825367065,0.5821120114296555,0.3410390625795831
서대문구,0.27721619535778336,0.5844309429936039,0.33865914488494747
중랑구,0.28257540599188796,0.5517670208653536,0.3364137289665811
동작구,0.272952490418405,0.5783918035675796,0.33404035304824004
강북구,0.2688785382548701,0.5895897350585451,0.33302077761560506
관악구,0.24163497953016988,0.6126963039643215,0.31584724441700024
동대문구,0.22881937030910954,0.6529765594356838,0.3136508081344245
