District,shortage_score,overstock_score,unbalance_score
서초구,0.4957188652546406,0.3658390746298444,0.46974290712968125
종로구,0.43016568899812835,0.40250568978561097,0.42463368915562477
강남구,0.4073782945997621,0.4646773818514297,0.4188381120500956
용산구,0.41408571198763866,0.431700082631768,0.41760858611646456
영등포구,0.3357509648282432,0.5256509753308385,0.37373096692876223
강서구,0.33307898937225344,0.5337911976621801,0.3732214310302388
금천구,0.33829430048839326,0.5096773285375329,0.3725709060982212
노원구,0.33528548198952673,0.5205703469775199,0.37234245498712537
중구,0.322792248970974,0.5349414147583719,0.3652220821284537
마포구,0.3134208723315999,0.5683013373511601,0.364396965335512
광진구,0.3237587196986559,0.5253938831320882,0.36408575238534235
구로구,0.3215824284212522,0.5299642088475186,0.3632587845065055
양천구,0.30454544460807426,0.5564333692867681,0.35492302954381294
성북구,0.30294907648138947,0.561477379690039,0.3546547371231194
성동구,0.2979582011356561,0.5636685783873514,0.3511002765859951
송파구,0.2883978594938812,0.5776479281158501,0.346247873218275
은평구,0.27330783681414517,0.599549859638266,0.33855624137896945
도봉구,0.28855746739085886,0.5347623479506771,0.3377984435028225
강북구,0.26238121050736285,0.5957679998142961,0.3290585683687496
서대문구,0.25443870297876175,0.6023641974873604,0.3240238018804815
동작구,0.24729369336427492,0.607209188734864,0.31927679243839274
중랑구,0.26002671754778894,0.5431901144198997,0.3166593969222112
동대문구,0.22299871275832922,0.6430356082598894,0.30700609185864136
강동구,0.22787883717246782,0.6148317585040999,0.30526942143879426
관악구,0.21444007513799304,0.6104449923620128,0.29364105858279693
